louvain leiden with n = 15

acm,Louvain,11,0.6298,0.8846,0.7221,0.7090,0.6222,0.7653,146.66
acm,Leiden,11,0.6395,0.8823,0.6703,0.7268,0.5781,0.7529,114.50
amac,Louvain,8,0.4257,0.6062,0.4998,0.3887,0.5272,0.5635,1377.98
amac,Leiden,4,0.2407,0.4604,0.3449,0.2385,0.3761,0.4706,1939.13

amap,Louvain,6,0.6415,0.6256,0.6602,0.4901,0.5058,0.6585,795.81
amap,Leiden,7,0.6488,0.6175,0.6314,0.4913,0.4473,0.6608,866.84
citeseer,Louvain,12,0.3749,0.5365,0.4547,0.3568,0.6212,0.8254,152.90
citeseer,Leiden,12,0.3648,0.5008,0.4592,0.3169,0.5906,0.8325,137.60

cora,Louvain,8,0.5726,0.7171,0.6828,0.5354,0.4797,0.7547,119.96
cora,Leiden,7,0.6006,0.7633,0.7427,0.5764,0.4444,0.7517,103.72
film,Louvain,2,0.0074,0.2672,0.3335,0.0072,0.5340,0.2618,929.91
film,Leiden,2,0.0115,0.2734,0.3384,0.0161,0.3810,0.2669,734.38


pubmed,Louvain,3,0.1858,0.5975,0.5912,0.1775,0.4958,0.4571,3192.68

