dataset,p_feat,algorithm,K,nmi,accuracy,f1,ari,dbi,modularity,elapsed_seconds
acm,0.25,Louvain,11,0.6028,0.8489,0.6735,0.6896,0.5638,0.7572,298.98
acm,0.25,Leiden,11,0.5591,0.7418,0.6023,0.5904,0.5148,0.7523,180.62
citeseer,0.25,Louvain,12,0.3781,0.5434,0.4538,0.3552,0.5745,0.8088,293.42
citeseer,0.25,Leiden,12,0.4029,0.5951,0.4940,0.3853,0.4945,0.8133,404.17
cora,0.25,Louvain,8,0.5593,0.6828,0.6487,0.5183,0.4647,0.7505,264.24
cora,0.25,Leiden,7,0.5922,0.7441,0.7244,0.5571,0.3751,0.7488,230.35
amac,0.25,Louvain,8,0.4272,0.6107,0.5430,0.4042,0.5677,0.5549,1217.41
amac,0.25,Leiden,4,0.2410,0.4627,0.3442,0.2596,0.4398,0.4704,1364.05
amap,0.25,Louvain,6,0.6430,0.6276,0.6616,0.4913,0.3755,0.6582,590.27
amap,0.25,Leiden,7,0.6493,0.6097,0.6329,0.4909,0.4563,0.6604,622.74


only Louvain
acm,0.25,Louvain,11,0.6028,0.8489,0.6735,0.6896,0.5638,0.7572,298.98
citeseer,0.25,Louvain,12,0.3781,0.5434,0.4538,0.3552,0.5745,0.8088,293.42
cora,0.25,Louvain,8,0.5593,0.6828,0.6487,0.5183,0.4647,0.7505,264.24
amac,0.25,Louvain,8,0.4272,0.6107,0.5430,0.4042,0.5677,0.5549,1217.41
amap,0.25,Louvain,6,0.6430,0.6276,0.6616,0.4913,0.3755,0.6582,590.27

selective algo
